Zaman,Ceyrek,Dolar,Euro
2019-05-23 02:06:40.385366,408.48,6.101,6.8228
2019-05-23 02:07:40.659732,408.53,6.1006,6.8227
2019-05-23 02:08:40.807732,408.53,6.1007,6.8211
2019-05-23 02:09:40.941482,408.58,6.1009,6.8226
2019-05-23 02:10:41.073235,408.58,6.1005,6.8223
2019-05-23 02:11:41.252326,408.57,6.1009,6.8225
2019-05-23 02:12:41.379173,408.57,6.106,6.8285
2019-05-23 02:13:41.711113,408.67,6.1073,6.8221
2019-05-23 02:14:41.948041,408.67,6.1075,6.8301
2019-05-23 02:15:42.183122,409.01,6.1071,6.8301
2019-05-23 02:16:42.444170,409.01,6.1071,6.8301
2019-05-23 02:17:42.665889,409.01,6.1069,6.8298
2019-05-23 02:18:42.843239,409.03,6.1071,6.8288
2019-05-23 02:19:43.111669,409.03,6.1082,6.828
2019-05-23 02:20:43.337134,409.03,6.1069,6.8291
2019-05-23 02:21:43.495078,409.03,6.107,6.8287
2019-05-23 02:22:43.656067,409.12,6.1075,6.8295
2019-05-23 02:23:43.950464,409.12,6.1067,6.8288
2019-05-23 02:24:44.222388,409.1,6.1069,6.8292
2019-05-23 02:25:44.456271,409.1,6.1069,6.829
2019-05-23 02:26:44.640468,409.1,6.1072,6.8294
2019-05-23 02:27:44.759141,409.1,6.1077,6.8299
2019-05-23 02:28:45.013381,409.11,6.1083,6.8296
2019-05-23 02:29:45.237644,409.11,6.1074,6.8301
2019-05-23 02:30:45.497187,409.12,6.1078,6.8302
2019-05-23 02:31:45.725512,409.12,6.1077,6.83
2019-05-23 02:32:45.968235,409.13,6.1079,6.8297
2019-05-23 02:33:46.211707,409.13,6.1078,6.8284
2019-05-23 02:34:46.351064,409.1,6.1072,6.8301
2019-05-23 02:35:46.603856,409.1,6.1091,6.824
2019-05-23 02:36:46.743808,409.22,6.1085,6.8303
2019-05-23 02:37:46.998250,409.22,6.1085,6.8303
2019-05-23 02:38:47.207756,409.22,6.09,6.8072
2019-05-23 02:39:47.367278,409.24,6.1174,6.8407
2019-05-23 02:40:47.808249,409.24,6.1173,6.8405
2019-05-23 02:41:47.970952,409.29,6.1174,6.8407
2019-05-23 02:42:48.256849,409.29,6.1176,6.841
2019-05-23 02:43:48.489801,409.89,6.1189,6.8422
2019-05-23 02:44:48.710826,409.89,6.1178,6.8399
2019-05-23 02:45:48.955214,409.93,6.1174,6.8408
2019-05-23 02:46:49.111462,409.97,6.12,6.8433
2019-05-23 02:47:49.232850,409.97,6.1188,6.8421
2019-05-23 02:48:49.487268,409.89,6.1195,6.8433
2019-05-23 02:49:49.689951,409.89,6.1189,6.8424
2019-05-23 02:50:49.852988,409.9,6.1188,6.8427
2019-05-23 02:51:50.003159,409.9,6.1191,6.8431
2019-05-23 02:52:50.214140,410.03,6.1225,6.8453
2019-05-23 02:53:50.428699,410.03,6.1221,6.8461
2019-05-23 02:54:50.545948,410.15,6.1179,6.8415
2019-05-23 02:55:50.795609,410.15,6.1182,6.8411
2019-05-23 02:56:50.998706,410.08,6.1174,6.8411
2019-05-23 02:57:51.290794,410.08,6.1174,6.8411
2019-05-23 02:58:51.539568,410.08,6.1173,6.8411
2019-05-23 02:59:51.675655,409.91,6.123,6.8455
2019-05-23 03:00:51.889558,409.91,6.1227,6.8462
2019-05-23 03:01:52.084492,409.88,6.122,6.8457
2019-05-23 03:02:52.251060,409.88,6.1231,6.846
2019-05-23 03:03:52.515986,410.18,6.1228,6.8458
2019-05-23 03:04:52.672798,410.18,6.1229,6.8458
2019-05-23 03:05:52.921855,410.22,6.1228,6.8463
2019-05-23 03:06:53.125238,410.22,6.1226,6.8462
2019-05-23 03:07:53.397964,410.27,6.1263,6.85
2019-05-23 03:08:53.631309,410.27,6.1273,6.8459
2019-05-23 03:09:53.874077,410.47,6.1253,6.8514
2019-05-23 03:10:54.126334,410.47,6.1261,6.8503
2019-05-23 03:11:54.336018,410.42,6.126,6.8498
2019-05-23 03:12:54.510927,410.42,6.1257,6.8499
2019-05-23 03:13:54.762521,410.36,6.1257,6.8499
2019-05-23 03:14:54.977068,410.3,6.1258,6.8491
2019-05-23 03:15:55.180776,410.3,6.1254,6.8492
2019-05-23 03:16:55.310934,410.3,6.1254,6.8492
2019-05-23 03:17:55.656931,410.24,6.1258,6.8482
2019-05-23 03:18:55.791334,410.24,6.1259,6.8491
2019-05-23 03:19:55.983878,410.24,6.1242,6.8473
2019-05-23 03:20:56.245304,410.24,6.1242,6.8478
2019-05-23 03:21:56.471433,410.22,6.1237,6.8464
2019-05-23 03:22:56.729708,410.22,6.124,6.8484
2019-05-23 03:23:56.968473,410.19,6.1239,6.8476
2019-05-23 03:24:57.139580,410.19,6.1238,6.8463
2019-05-23 03:25:57.398103,410.19,6.1236,6.848
2019-05-23 03:26:57.639596,410.19,6.1248,6.8472
2019-05-23 03:27:57.759947,410.19,6.1236,6.848
2019-05-23 03:28:58.001641,410.19,6.1227,6.8459
2019-05-23 03:29:58.182134,410.05,6.1223,6.8456
2019-05-23 03:30:58.368252,410.05,6.1226,6.8453
2019-05-23 03:31:58.575174,410.04,6.1227,6.8455
2019-05-23 03:32:58.818959,410.04,6.1232,6.8454
2019-05-23 03:33:59.018065,409.99,6.1219,6.8457
2019-05-23 03:34:59.283642,409.99,6.1224,6.8461
2019-05-23 03:35:59.445543,410.03,6.1227,6.8457
2019-05-23 03:36:59.707705,410.03,6.123,6.8451
2019-05-23 03:37:59.842732,410.13,6.1227,6.8452
2019-05-23 03:39:00.076187,410.13,6.1229,6.8446
2019-05-23 03:40:00.331019,410.03,6.1238,6.8468
2019-05-23 03:41:00.588391,410.03,6.124,6.8443
2019-05-23 03:42:00.875005,410.08,6.1235,6.846
2019-05-23 03:43:01.132091,410.08,6.124,6.8464
2019-05-23 03:44:01.369039,410.17,6.1269,6.847
2019-05-23 03:45:01.637035,410.17,6.1272,6.8494
2019-05-23 03:46:01.850817,410.08,6.126,6.8504
2019-05-23 03:47:01.975394,410.08,6.1271,6.8522
2019-05-23 03:48:02.158843,410.34,6.1268,6.851
2019-05-23 03:49:02.336299,410.34,6.1248,6.8475
2019-05-23 03:50:02.589687,410.34,6.1248,6.8475
2019-05-23 03:51:02.854322,410.32,6.1246,6.8471
2019-05-23 03:52:03.080728,410.32,6.1244,6.8474
2019-05-23 03:53:03.371365,410.2,6.1249,6.8468
2019-05-23 03:54:03.624815,410.2,6.1257,6.8493
2019-05-23 03:55:03.804708,410.22,6.1246,6.8474
2019-05-23 03:56:04.044720,410.22,6.1249,6.8474
2019-05-23 03:57:04.289144,410.18,6.1244,6.8473
2019-05-23 03:58:04.482313,410.18,6.1251,6.8472
2019-05-23 03:59:04.644939,410.21,6.1251,6.8452
2019-05-23 04:00:04.894044,410.21,6.1244,6.8472
2019-05-23 04:01:05.150750,410.31,6.1249,6.8472
2019-05-23 04:02:05.356615,410.31,6.1252,6.8475
